,rule,alpha,d_ini,level_3,count,actual_run_num,System_entropy
9939,128,1.0,0.4,mean,0,1.284,0.284
9940,128,1.0,0.5,mean,0,1.635,0.6183985000288462
9941,128,1.0,0.6,mean,0,2.061,0.9821428751370216
9942,128,1.0,0.7,mean,0,2.584,1.327344400299997
9943,128,1.0,0.8,mean,0,3.32,1.6973835003172981
9944,128,1.0,0.9,mean,0,5.0,2.3219280948873875
9945,130,0.2,0.1,mean,0,10.252,1.0263816672932453
9946,130,0.2,0.2,mean,0,13.758,1.8949157128499423
9947,130,0.2,0.3,mean,0,18.281,2.420995610928324
9948,130,0.2,0.4,mean,0,20.961,2.7268221037038267
9949,130,0.2,0.5,mean,0,22.165,2.898430120928478
9950,130,0.2,0.6,mean,0,25.303,3.122645415385292
9951,130,0.2,0.7,mean,0,27.254,3.2518472415210073
9952,130,0.2,0.8,mean,0,32.78,3.4300412502173976
9953,130,0.2,0.9,mean,0,41.749,3.6381532760401845
9954,130,0.25,0.1,mean,0,8.944,1.1677791806256983
9955,130,0.25,0.2,mean,0,12.766,2.0248778518848303
9956,130,0.25,0.3,mean,0,14.476,2.4128708999196844
9957,130,0.25,0.4,mean,0,16.256,2.685575454040408
9958,130,0.25,0.5,mean,0,17.891,2.89430314993189
9959,130,0.25,0.6,mean,0,19.431,3.0569829813753437
9960,130,0.25,0.7,mean,0,21.897,3.223364740840451
9961,130,0.25,0.8,mean,0,25.899,3.4315393961923277
9962,130,0.25,0.9,mean,0,32.584,3.655745977903001
9963,130,0.3,0.1,mean,0,6.995,1.1182260056722693
9964,130,0.3,0.2,mean,0,10.043,1.9393219833410706
9965,130,0.3,0.3,mean,0,11.904,2.340810672168511
9966,130,0.3,0.4,mean,0,13.466,2.6520622290559643
9967,130,0.3,0.5,mean,0,14.907,2.8747667968669544
9968,130,0.3,0.6,mean,0,16.281,3.0173343702604267
9969,130,0.3,0.7,mean,0,18.328,3.1917314279159146
9970,130,0.3,0.8,mean,0,21.03,3.3968339061838133
9971,130,0.3,0.9,mean,0,26.287,3.6151675779253005
9972,130,0.35,0.1,mean,0,5.947,1.1131278607304451
9973,130,0.35,0.2,mean,0,8.492,1.9314968051852637
9974,130,0.35,0.3,mean,0,10.505,2.3853350215590727
9975,130,0.35,0.4,mean,0,11.881,2.6631567065705086
9976,130,0.35,0.5,mean,0,12.601,2.7930682539204295
9977,130,0.35,0.6,mean,0,14.426,3.003674098817452
9978,130,0.35,0.7,mean,0,15.527,3.1421239336906175
9979,130,0.35,0.8,mean,0,18.195,3.3690167158551163
9980,130,0.35,0.9,mean,0,22.492,3.611000507771405
9981,130,0.4,0.1,mean,0,5.781,1.2127652606970618
9982,130,0.4,0.2,mean,0,7.943,1.9671247170904582
9983,130,0.4,0.3,mean,0,9.646,2.364183143925478
9984,130,0.4,0.4,mean,0,10.595,2.6037957354088257
9985,130,0.4,0.5,mean,0,11.215,2.767374836361699
9986,130,0.4,0.6,mean,0,12.456,2.9376915647576927
9987,130,0.4,0.7,mean,0,13.485,3.080538823565977
9988,130,0.4,0.8,mean,0,15.796,3.3161390937134887
9989,130,0.4,0.9,mean,0,19.931,3.59605694517952
9990,130,0.45,0.1,mean,0,5.074,1.1965181437796122
9991,130,0.45,0.2,mean,0,7.659,2.022122436832746
9992,130,0.45,0.3,mean,0,8.745,2.3470861580778064
9993,130,0.45,0.4,mean,0,9.771,2.5917165570092178
9994,130,0.45,0.5,mean,0,10.353,2.746298974407074
9995,130,0.45,0.6,mean,0,10.939,2.8405777267528713
9996,130,0.45,0.7,mean,0,12.595,3.107415342047061
9997,130,0.45,0.8,mean,0,14.054,3.2827668436081376
9998,130,0.45,0.9,mean,0,17.507,3.562968656032495
9999,130,0.5,0.1,mean,0,5.088,1.3257807886539357
10000,130,0.5,0.2,mean,0,6.815,1.9689680433485333
10001,130,0.5,0.3,mean,0,8.143,2.337191287573788
10002,130,0.5,0.4,mean,0,8.479,2.489529427788458
10003,130,0.5,0.5,mean,0,9.37,2.698045033456263
10004,130,0.5,0.6,mean,0,10.109,2.835039461740572
10005,130,0.5,0.7,mean,0,11.066,3.0066679666969853
10006,130,0.5,0.8,mean,0,13.221,3.269388331653287
10007,130,0.5,0.9,mean,0,16.245,3.5556247476073803
10008,130,0.55,0.1,mean,0,4.869,1.3509329891226338
10009,130,0.55,0.2,mean,0,6.824,2.0643467122180073
10010,130,0.55,0.3,mean,0,7.656,2.3441081771999177
10011,130,0.55,0.4,mean,0,8.311,2.5519970550476376
10012,130,0.55,0.5,mean,0,8.884,2.643214368935194
10013,130,0.55,0.6,mean,0,9.363,2.774892472111508
10014,130,0.55,0.7,mean,0,10.359,2.9647412128930526
10015,130,0.55,0.8,mean,0,12.166,3.21874604932035
10016,130,0.55,0.9,mean,0,14.507,3.495318028751268
10017,130,0.6,0.1,mean,0,4.783,1.4631278276940098
10018,130,0.6,0.2,mean,0,6.824,2.0994344257399082
10019,130,0.6,0.3,mean,0,7.398,2.362444581437881
10020,130,0.6,0.4,mean,0,7.884,2.5111165523074463
10021,130,0.6,0.5,mean,0,8.181,2.5897921457750392
10022,130,0.6,0.6,mean,0,8.923,2.768100175871923
10023,130,0.6,0.7,mean,0,9.827,2.929607453158684
10024,130,0.6,0.8,mean,0,11.443,3.1878784026493485
10025,130,0.6,0.9,mean,0,14.147,3.509673339893772
10026,130,0.65,0.1,mean,0,5.272,1.5594123417877526
10027,130,0.65,0.2,mean,0,6.393,2.1161024882277912
10028,130,0.65,0.3,mean,0,7.256,2.3555946252313738
10029,130,0.65,0.4,mean,0,7.785,2.52889764873053
10030,130,0.65,0.5,mean,0,8.218,2.6369576224288416
10031,130,0.65,0.6,mean,0,8.95,2.7787656606902096
10032,130,0.65,0.7,mean,0,9.572,2.9352181275443177
10033,130,0.65,0.8,mean,0,11.052,3.176943972878446
